project-name,project-slug,image,skills,URL,date,type,description,org
"500,000 lives lost",covid-deaths,500k.jpg,,https://graphics.reuters.com/HEALTH-CORONAVIRUS/USA-CASUALTIES-CHRONOLOGY/xklpyomnrpg/,2/22/21,graphic,,Reuters
"Wild weather, warming planet",climate,climate.jpg,,https://graphics.reuters.com/ENVIRONMENT-2020/WARMING/qzjpqdadnvx/,12/23/20,graphic,,Reuters
Live U.S. Election Results,election-results,election-results.jpg,,https://graphics.reuters.com/USA-ELECTION/RESULTS-LIVE-US/jbyprxelqpe/,11/3/20,graphic,,Reuters
Raspberry racket,raspberries,raspberries.jpg,,https://graphics.reuters.com/CHILE-CRIME/RASPBERRIES/jbyvrmdkope/,10/6/20,graphic,,Reuters
Vote by Mail Explainer,vote-by-mail,vote-by-mail.jpg,,https://graphics.reuters.com/USA-ELECTION/VOTE-BY-MAIL/ygdpzmexmvw/index.html,9/8/20,graphic,,Reuters
Rite Aid Special Report,rite-aid,rite-aid.png,,https://www.reuters.com/investigates/special-report/usa-riteaid-software/,7/28/20,graphic,,Reuters
Race Gap,race-gap,race-gap.jpg,,https://graphics.reuters.com/GLOBAL-RACE/USA/nmopajawjva/,7/1/20,graphic,,Reuters
High-risk dams,dams,dams.gif,,https://graphics.reuters.com/MINING-TAILINGS1/0100B4S72K1/index.html,12/19/19,graphic,"A team effort, on this one I was the resident d3 developer and helped add the bar chart totals you see on the map that changes state up top. I also created the scrollytelling breakdown ""Company Breakdown"" section at the bottom.",Reuters
Tracking the Fed,fed,fed.gif,,https://graphics.reuters.com/USA-FED/0100B4P72CZ/index.html,12/6/19,graphic,,Reuters
500 Cities: A Look at Health and Geography,500-cities,500-cities.gif,"d3, leaflet, javascript, make",https://www.nbcchicago.com/news/national-international/Health-Depends-on-Where-You-Live-CDC-500-Cities-505797751.html,2/18/19,graphic/widget,"Our Investigative teams took a look at the CDC's compiled dataset on various health in the U.S.'s 500 largest cities. I visualized disparities in urban areas for each of the cities included in the dataset that are in our markets. I created a clickthrough interactive that shows these disparities and is configured for each of our markets (try switching out ""nbcnewyork.com"" for ""nbcchicago.com"" in the URL.) Behind each interactive is a complex data workflow that joins shapefiles with CDC files and splits data by market. Lastly, I spent a good amount of time figuring out how to tween a scatterplot into a chloropleth map.",NBC
Chicago's Municipal Election,chicago-municipal-election,chicago-municipal-election.gif,"d3, leaflet, javascript",https://www.nbcchicago.com/news/local/sample-ballot-chicago-mayor-alderman-election-505992361.html,2/18/19,graphic/widget,"A huge part of my job is working with individual stations on local stories, so for Chicago's Feb. 26th election, I created a tool that looks up an address or place in Chicago and returns a ward number with candidate information.",NBC
Diversity in the New Congress,congress-makeup,congress.gif,"d3, make, pandas",https://www.nbcsandiego.com/news/politics/Diversity-in-the-New-Congress-503821821.html,1/3/19,graphic,An intern and I dissected and analyzed the newly-elected congress as compared to the previous for a graphic on NBC's sites. I designed the layout for the congress arcs dynamically using d3 and the trusty formula for points along the circumference of a circle learned in high school trig.,NBC
